epoch | d_loss | g_loss | g_lr | d_lr 
---------------------------------------------------------------
[071/100] D: 0.5238 | G: 1.1662 | g_lr=0.000145 | d_lr=0.000018 
[072/100] D: 0.5220 | G: 1.1673 | g_lr=0.000144 | d_lr=0.000018 
[073/100] D: 0.5196 | G: 1.1732 | g_lr=0.000142 | d_lr=0.000018 
[074/100] D: 0.5200 | G: 1.1782 | g_lr=0.000141 | d_lr=0.000018 
[075/100] D: 0.5172 | G: 1.1836 | g_lr=0.000139 | d_lr=0.000017 
[076/100] D: 0.5153 | G: 1.1897 | g_lr=0.000138 | d_lr=0.000017 
[077/100] D: 0.5142 | G: 1.1910 | g_lr=0.000137 | d_lr=0.000017 
[078/100] D: 0.5126 | G: 1.1984 | g_lr=0.000135 | d_lr=0.000017 
[079/100] D: 0.5125 | G: 1.2052 | g_lr=0.000134 | d_lr=0.000017 
[080/100] D: 0.5117 | G: 1.2066 | g_lr=0.000131 | d_lr=0.000016 
[081/100] D: 0.5089 | G: 1.2091 | g_lr=0.000129 | d_lr=0.000016 
[082/100] D: 0.5072 | G: 1.2098 | g_lr=0.000126 | d_lr=0.000016 
[083/100] D: 0.5078 | G: 1.2178 | g_lr=0.000123 | d_lr=0.000015 
[084/100] D: 0.5065 | G: 1.2211 | g_lr=0.000121 | d_lr=0.000015 
[085/100] D: 0.5035 | G: 1.2240 | g_lr=0.000119 | d_lr=0.000015 
[086/100] D: 0.5034 | G: 1.2308 | g_lr=0.000116 | d_lr=0.000015 
[087/100] D: 0.5026 | G: 1.2372 | g_lr=0.000114 | d_lr=0.000014 
[088/100] D: 0.5006 | G: 1.2375 | g_lr=0.000112 | d_lr=0.000014 
[089/100] D: 0.4993 | G: 1.2400 | g_lr=0.000109 | d_lr=0.000014 
[090/100] D: 0.4985 | G: 1.2432 | g_lr=0.000107 | d_lr=0.000013 
[091/100] D: 0.4982 | G: 1.2480 | g_lr=0.000105 | d_lr=0.000013 
[092/100] D: 0.4964 | G: 1.2512 | g_lr=0.000103 | d_lr=0.000013 
[093/100] D: 0.4962 | G: 1.2545 | g_lr=0.000101 | d_lr=0.000013 
[094/100] D: 0.4951 | G: 1.2559 | g_lr=0.000099 | d_lr=0.000012 
[095/100] D: 0.4940 | G: 1.2662 | g_lr=0.000097 | d_lr=0.000012 
[096/100] D: 0.4936 | G: 1.2642 | g_lr=0.000095 | d_lr=0.000012 
[097/100] D: 0.4920 | G: 1.2682 | g_lr=0.000093 | d_lr=0.000012 
[098/100] D: 0.4902 | G: 1.2697 | g_lr=0.000091 | d_lr=0.000011 
[099/100] D: 0.4905 | G: 1.2742 | g_lr=0.000090 | d_lr=0.000011 
[100/100] D: 0.4891 | G: 1.2780 | g_lr=0.000088 | d_lr=0.000011 

Inception Score: 2.179 ± 0.064 | FID: 20.17
